timestamp,preference,outbound,return,trip_days,airline,duration,stops,price_aud,source,jetstar_link,alert
2026-07-02T22:58:32Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,600.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-02T22:58:32Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,17h 40m,1,647.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-03T22:56:25Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,593.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-03T22:56:25Z,2nd preference,2027-04-16,2027-05-01,15,Virgin Australia Airlines,13h 55m,1,681.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-04T22:51:17Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,593.00,"google, kiwi",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-04T22:51:17Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,603.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-05T22:55:50Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,480.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-07-05T22:55:50Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,603.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-06T22:59:45Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,480.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
2026-07-06T22:59:45Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,603.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-07T22:53:48Z,1st preference,2027-04-18,2027-05-02,14,Virgin Australia Airlines,17h 40m,1,652.00,kiwi,https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-07T22:53:48Z,2nd preference,2027-04-16,2027-05-01,15,Jetstar Airways,10h 5m,0,603.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=160427&return-date=010527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,
2026-07-08T22:57:38Z,1st preference,2027-04-18,2027-05-02,14,Jetstar Airways,10h 5m,0,480.00,"google, kiwi, cached",https://www.jetstar.com/au/en/flights?origin=ADL&destination=DPS&departure-date=180427&return-date=020527&adult=1&child=0&infant=0&trip-type=R&cabin-class=E,YES
